Fayda,Bitkiler
Bağışıklık sistemini güçlendirir ve vücut direncini artırır,"Alman Papatyası, Geven, Dereotu Tohumu, Devedikeni, Ebegümeci, Enginar Yaprağı, Isırgan Otu, Karahindiba, Karanfil, Kaygan Karaağaç, Kimyon, Kişniş, Mürver Çiçeği, Romen Papatyası, Sinir Otu, Zencefil, Zerdeçal, Zeytin Yaprağı, Çörek Otu, Ardıç Meyvesi, Ashwagandha, Ginseng, Ekinezya, Kara Mürver, Sibirya Ginsengi, Laden, Dağ Çayı, Kuşburnu, Kekik, Altınmühür, Biberiye, Civanperçemi, Karabaş Otu, Yaban Kekiği, Pırasa Tohumu, Kutsal Fesleğen, Ginkgo Biloba, Gotu Kola, Hatmi Çiçeği, Ihlamur, Isırgan Tohumu, At Kuyruğu, Roma Papatyası, Dağ Kekiği, Tarla Aslanpençesi, Yalancı Aslanpençesi, Melek Otu, Asma, Çayır Üçgülü, Turnagagası, Koka, Sedef Otu, Yarpuz, Yeşil Çay, Üzüm"
Sindirim sistemini düzenler ve mide-bağırsak sağlığını destekler,"Alman Papatyası, Anason, Geven, Dereotu Tohumu, Devedikeni, Dulavratotu Kökü, Enginar Yaprağı, Isırgan Otu, Karahindiba, Karanfil, Kaygan Karaağaç, Kimyon, Kişniş, Nane, Darülfülfül, Rezene, Şizandra, Sinir Otu, Zencefil, Zerdeçal, Kinoa Yaprağı, Ardıç Meyvesi, Damiana, Defne Yaprağı, Mor Fesleğen, Ayva Yaprağı, Fesleğen, Limon Otu, Kudzu, Yarpuz, Dağ Çayı, Adaçayı, Biberiye, Kekik, Yaban Kekiği, Tarhun, Siyah Kimyon (Bunium), Kereviz Tohumu, Limon Kekiği, Meyan Kökü, Kudret Narı, Sarı Kantaron, Şatavari, Ebegümeci, Akgünlük, Kekik (Onites), Muskat, Guggul Reçinesi, Pelin Otu, Akçaağaç Kabuğu, Meşe Kabuğu, Böğürtlen Yaprağı, Yonca, Gotu Kola, İspanyol Adaçayı, Elma Kabuğu, Roma Papatyası, Çörek Otu, Hindiba Kökü, Dulavrat Otu Kökü, Dağ Kekiği, Kereviz, Hardal, Monarda, Kuşburnu, Nar, Çam Sakızı, Havlıcan, Tıbbi Havlıcan, Beyaz Zerdeçal, Mercanköşk, Dut Yaprağı, Kabuklu Zencefil, Kekik Çayı, Bergamot, Ananas Adaçayı, Bergamotlu Nane, İzmir Kekiği, Yaban Mersini Çayı, Buğday, Arpa, Yaban Mersini, Siyah Dut, Sinameki, Avrupa Yaban Değneği, Tarçın, Aslanpençesi, Anadolu Adaçayı, At Nanesi, Frenk Kimyonu, Çayır Düğmesi, Su Nanesi, Bahçe Sedef Otu, Ihlamur, Üzüm, Karabiber, Beyaz Biber, Küçük Çayır Düğmesi, Kanada Yaban Değneği (Asarum Canadense), Asya Yaban Değneği, Zerdeçal (Kurkumin İçerikli), Kafur, Tıbbi Nane, Yalancı Aslanpençesi, Çay, Tarla Aslanpençesi, Bahçe Nanesi, Çemen Otu, Kıvırcık Nane, Kanada Yaban Değneği (Asarum Caudatum), Kara Hardal"
Stres ve anksiyete seviyelerini düşürerek zihinsel rahatlama sağlar,"Alman Papatyası, Anason, Dereotu Tohumu, Ihlamur, Romen Papatyası, Melisa, Kava Kava Kökü, Çörek Otu, Sinir Otu, Lavanta, Zerdeçal, Ardıç Meyvesi, Ashwagandha, Damiana, Ginkgo Biloba, Ginseng, Limon Otu, Çarkıfelek, Kediotu, Altın Kök, Adaçayı, Biberiye, Civanperçemi, Karabaş Otu, Kekik, Kutsal Fesleğen, Mine Çiçeği, Sarı Kantaron, Isırgan Otu, Roma Papatyası, Ayva Yaprağı, Gotu Kola, Fesleğen, İspanyol Adaçayı"
"Cilt sağlığını destekler, doku onarımını ve cilt tonunu düzenler","Alman Papatyası, Anason, Geven, Dereotu Tohumu, Devedikeni, Dulavratotu Kökü, Ebegümeci, Hatmi Çiçeği, Isırgan Otu, Karahindiba, Karanfil, Kaygan Karaağaç, Kişniş, Mürver Çiçeği, Okaliptüs Yaprağı, Romen Papatyası, Şizandra, Sinir Otu, Zeytin Yaprağı, Çay Ağacı, Çörek Otu, Adaçayı, Akçaağaç Kabuğu, Armut Yaprağı, At Kestanesi, Atkuyruğu, Biberiye, Çuha Çiçeği, Aynısafa, Sarı Kantaron, Hatmi Kökü, Kudret Narı, Mür Reçinesi, Maydanoz Yaprağı, Ardıç Meyvesi, Günlük, Damiana, Mor Fesleğen, Guggul Reçinesi, Paçuli, Kırmızı Yonca, Aloe Vera, Dulavrat Otu, Altınmühür, Huş Ağacı Kabuğu, Karabaş Otu, Kinoa Yaprağı, Ayva Yaprağı, Fesleğen, Ekinezya, Elma Nanesi, Lavanta, Dulavrat Otu Kökü, Ginkgo Biloba, Ginseng, Gotu Kola, Ihlamur, Kara Mürver, Meyan Kökü, Muskat, Roma Papatyası, Tarçın, Zerdeçal, Çobançantası, Elma Kabuğu, Isırgan Tohumu, Keten Tohumu, Kızılcık Kabuğu, Laden, Soğan Kabuğu, Ashwagandha, Meşe Kabuğu, Cadı Fındığı, Böğürtlen Yaprağı, Ahududu Yaprağı, At Kuyruğu, Ayva Çekirdeği, Havuç Tohumu"
"Spiritüel arınma, enerji temizliği ve metafiziksel koruma sağlar","Anason, Dulavratotu Kökü, Kekik (Onites), Limon Kekiği, Darülfülfül, Kızılcık Kabuğu, Kava Kava Kökü, Ardıç Meyvesi, Günlük, Defne Yaprağı, Mor Fesleğen, Guggul Reçinesi, Ekinezya, Ökseotu, Limon Otu, Pelin Otu, Paçuli, Laden, Elma Nanesi, Sitronella, Adaçayı, At Kestanesi, Atkuyruğu, Biberiye, Böğürtlen Yaprağı, Aynısafa, Hatmi Kökü, Huş Ağacı Kabuğu, Karabaş Otu, Kekik, Zahter (Kekik Spicata), Kutsal Fesleğen, Mine Çiçeği, Yaban Kekiği, Pırasa Tohumu, Sığırkuyruğu, Söğüt Kabuğu, Tarhun, Mür Reçinesi, Yonca, Hindiba Kökü, Meyan Kökü, Keten Tohumu, Dulavrat Otu Kökü, Akgünlük, At Kuyruğu, Dağ Kekiği"
Solunum yollarını rahatlatır ve solunum sistemi sağlığını destekler,"Anason, Geven, Dereotu Tohumu, Ebegümeci, Hatmi Çiçeği, Ihlamur, Karanfil, Kaygan Karaağaç, Kekik (Onites), Mürver Çiçeği, Okaliptüs Yaprağı, Darülfülfül, Zeytin Yaprağı, Ardıç Meyvesi, Günlük, Defne Yaprağı, Ayva Yaprağı, Fesleğen, Ekinezya, Kırmızı Yonca, Yarpuz, Dağ Çayı, Okaliptüs, Adaçayı, Atkuyruğu, Civanperçemi, Kekik, Zahter (Kekik Spicata), Yaban Kekiği, Meyan Kökü, Akçaağaç Kabuğu, Böğürtlen Yaprağı, Hatmi Kökü, Altınmühür, Mor Fesleğen, Ayva Çekirdeği, Keklik Otu, Mür Reçinesi, Alman Papatyası, Kara Mürver, Nane, Sinir Otu, Tarçın, Zencefil, Çörek Otu, Laden, Akgünlük, Sığırkuyruğu, Siyah Kimyon, Sarımsak, Pırasa Tohumu, Kutsal Fesleğen, Maydanoz Yaprağı, Kişniş, Keten Tohumu, Çay Ağacı, Limon Kekiği, At Kuyruğu, Dağ Kekiği"
Analjezik ve anti-inflamatuar etki göstererek ağrıları hafifletir,"Alman Papatyası, Isırgan Otu, Karanfil, Kekik (Onites), Kızılcık Kabuğu, Okaliptüs Yaprağı, Romen Papatyası, Sinir Otu, Zencefil, Zerdeçal, Söğüt Kabuğu, At Kestanesi, Biberiye, Civanperçemi, Huş Ağacı Kabuğu, Karabaş Otu, Kekik, Sığırkuyruğu, Tarhun, Ardıç Meyvesi, Günlük, Defne Yaprağı, Guggul Reçinesi, Ökseotu, Limon Otu, Pelin Otu, Atkuyruğu, Çuha Çiçeği, Yonca, Dulavrat Otu Kökü, Hatmi Çiçeği, Karahindiba, Kişniş, Muskat, Zeytin Yaprağı, Akgünlük, İspanyol Adaçayı, Kereviz Tohumu, Keten Tohumu, At Kuyruğu, Roma Papatyası"
Uyku kalitesini artırır ve uykusuzluk sorunlarını giderir,"Alman Papatyası, Anason, Dereotu Tohumu, Ihlamur, Romen Papatyası, Melisa, Kava Kava Kökü, Kediotu, Çarkıfelek, Ebegümeci, Ashwagandha, Ayva Yaprağı, Elma Kabuğu, Muskat, Şerbetçiotu, Karabaş Otu, Mine Çiçeği, Sarı Kantaron, Sarımsak, Shatavari, Tarhun, Kereviz Tohumu, Lavanta, Roma Papatyası, Soğan Kabuğu, Şatavari"
Saç ve saç derisi sağlığını destekleyerek kepek oluşumunu önler,"Alman Papatyası, Dereotu Tohumu, Dulavratotu Kökü, Hatmi Çiçeği, Isırgan Otu, Çay Ağacı, Çörek Otu, Kinoa Yaprağı, Defne Yaprağı, Ayva Yaprağı, İspanyol Adaçayı, Isırgan Tohumu, Soğan Kabuğu, Paçuli, Kırmızı Yonca, Atkuyruğu, Biberiye, Çuha Çiçeği, Huş Ağacı Kabuğu, Aynısafa, Karabaş Otu, Maydanoz Yaprağı, Yonca, At Kuyruğu, Dulavrat Otu Kökü"
Hormon dengesini düzenler ve kadın sağlığını destekler,"Dereotu Tohumu, Keten Tohumu, Melisa, Romen Papatyası, Şizandra, Çobançantası, Kırmızı Yonca, Maca Kökü, Ökseotu, Havuç Tohumu, Pelin Otu, Yarpuz, Kudzu, Hayıt Tohumu, Adaçayı, Civanperçemi, Çuha Çiçeği, Sarı Kantaron, Shatavari, Yonca, Mine Çiçeği, Tarhun, Maydanoz Yaprağı, Ahududu Yaprağı, Siyah Kimyon (Bunium), Anason, Guggul Reçinesi, İspanyol Adaçayı, Meyan Kökü, Safran, Çarkıfelek, Maydanoz Tohumu, Şatavari, Roma Papatyası"
