Fayda,Taşlar
"Zihinsel netlik, odaklanma ve konsantrasyonu artırır","Rutil Kuvars, Safir, Shattuckite, Selenit, Sardonyx, Selestit, Mavi Safir, Kristal/Değerli Taş, Serpantin, Akik, Beril, Dumortierit, Florit, Hematit, Lazulit, Pirit, Oltu Taşı, Sardoniks, Serafinit, Septeryan, Zebercet, Sodalit, Kristal Kuvars, Azurit, Jasper, Ametist, Lapis Lazuli, Sitrin, Melek Tozu Kuvars, Arizona Akik, Üleksit, Verdelit, Zultanit, Apofilit, Siyah Akik, Kalsit, Gözlemci Taşı, Süper Yedi, Tiffany Taşı, Ametrin, Siderit, Vulfenit, Adamite, Afganit, Aktinolit, Almandin, Alexandrite, Altın Şifacı Kuvars, Andalusite, Anyolit, Oniks, Turmalin Kuvars, Vanadinit, Varisit, Yosunlu Akik, Zirkon, Zümrüt, Almandin Granat, Turmalin, Topaz, Tanzanit, Yakut, Mistik Topaz, Andaluzit, Atakamit, İndikolit, Rubizoit, Spinel, Thulite, Mavi Kalsit, Herderit, Altın Kuvars, Ajoit, Aksinit, Sugulit, Almandin Lal Taşı, Golden Healer, Adamit, Kuvars Içinde, Abalone, Kehribar, Ejinir, Kayısı Akik, Kan Taşı, Mavi Beril, Mavi Jasper, Labradorit, Kyanit, Aragonit, Gökkuşağı Florit, Kaplan Gözü, Ateş Kuvarsı"
"Stres, kaygı ve anksiyeteyi azaltarak içsel huzur sağlar","Rutil Kuvars, Safir, Selenit, Selestit, Shattuckite, Mavi Safir, Sardoniks, Smithsonite, Ametist, Mavi Dantelli Akik, Lepidolit, Akuamarin, Oltu Taşı, Smitsonit, Petalit, Danburite, Kalsedon, Amazonit, Amulet Stone, Pembe Kuvars, Kristal Kuvars, Peridot, Dumanlı Kuvars, Ay Taşı, Turkuaz, Kaplan Gözü, Larimar, Sitrin, Akik, Arizona Akik, Botswana Akik, Anjelit, Jasper, Oniks, Tugtupit, Verdelit, Florit, Muska Taşı, Apofilit, Auralite-23, Mavi Oniks, Mor Turmalin, Süper Yedi, Hiddenite, Stromatolit, Zultanit, Skapolit, Viviyanit, Varisit, Kunzit, Tantalite, Stilbit, Glendonit, Bronzit, Mangano Kalsit, Pembe Kalsit, Mavi Kalsit, Benitoyit, Ametrin, Kalsit, Pembe Opal, Pirit, Aktinolit, Amblygonit, Angel Aura Kuvars, Atlantasit, Dumortierit, Eilat Taşı, Epidot, Hematoid Kalsit, Icicle Kalsit, Kasiterit, Labradorit, Nuummit, Prazolit, Siyah Kuvars, Kırmızı Kalsit, Paraiba Kuvarsı, Pembe Spinel, Pembe Turmalin, Leylak Lepidolit, Mıknatıs Taşı, Polusit, Que Sera, Selestobarit, Lityum Kuvars, Havlit, Okenit, Seruzit, Piromorfit, Melanit"
Duygusal dengeyi korur ve içsel huzur sağlar,"Rutil Kuvars, Selestit, Smithsonit, Septeryan, Seraphinite, Safir, Amazonit, Havlit, Kan Taşı, Peridot, Akik, Auralite-23, Aragonit, Petalit, Prehnit, Karnelyan, Rodonit, Abalon Kabuğu, Lepidolit, Lityum Kuvars, Melanit, Deniz Jasperı, Jasper, Purpurit, Markazit, Natrolit, Llanit, Selestobarit, Larimar"
Bağışıklık sistemini güçlendirir ve vücut direncini artırır,"Safir, Septeryan, Smithsonit, Rutil Kuvars, Hücre Desenli Akik, Serafinit, Serpantin, Florit, Ametist, Berrak Kuvars, Mookaite Jasper, Pirit, Akik, Lepidolit, Smitsonit, Petalit, Sardonyx, Pietersite, Rodonit, Siyah Turmalin, Prehnite, Kehribar, Ametrin, Angel Dust Kuvars, Yakut, Creedite, Kornerupine, Grossular Lal Taşı, Şevron Ametist, Mavi Kuvars, Ouro Verde Kuvars, Yeşil Apatit, Epidot, Goşenit, Kloritli Kuvars, Hanksit, Kornerupin, Krokoit, Halit Minerali, Sonsuzluk Taşı"
İletişim becerilerini geliştirir ve kendini ifade etme yeteneğini güçlendirir,"Selestit, Safir, Shattuckite, Septeryan, Smithsonit, Rutil Kuvars, Mavi Safir, Krizokol, Amazonit, Mavi Dantelli Akik, Havlit, Larimar, Turkuaz, Lapis Lazuli, Akuamarin, Afganit, Apatit, Mavi Aventurin, Azurit, Euclaz, Kovellit, Mavi Opal, Girasol Kuvars, Porselen Jasper, Zümrüt, Natrolit, Papagoit, Purpurit, Heterosit, Titanit, Çılgın Dantel Akik, Akroit, Ametist"
Negatif enerjilere karşı koruma sağlar ve aura alanını temizler,"Sardonyx, Selenit, Septeryan, Rutil Kuvars, Selestit, Shattuckite, Siyah Turmalin, Serafinit, Obsidyen, Jet, Florit, Pirit, Sardoniks, Çilek Kuvars, Siyah Obsidyen, Dumanlı Kuvars, Labradorit, Sardoniks Akik, Kan Taşı, Ametist, Safir, Daimonites, Akik, Yeşim Taşı, Endülüsit, Zultanit, Kaplan Gözü, Oniks, Turkuaz, Yeşim, Jasper, Su Elementi Taşları, Aytaşı Vb.), Ametrine, Kayısı Akik, Amazonit, Andaluzit, Atlantisite, Siyah Oniks, Turmalinli Kuvars, Siyah Akik, Kyanit, Şungit, Stavrolit, Cinnabar"
Sezgileri güçlendirir ve psişik yetenekleri geliştirir,"Shattuckite, Selestit, Rutil Kuvars, Selenit, Serpantin, Kyanit, İyolit, Petersit, Sardoniks, Prehnit, Labradorit, Ay Taşı, Petalit, Pietersite, Abalone Shell, Ametrin, Anjelit, Apofilit, Apatit, African Turquoise, Kaplan Gözü, Lapis Lazuli, Tiffany Stone, Üleksit, Vivianit, Ametist, Florit, Abalone Kabuğu, Afrika Turkuazı, Mavi Oniks, Süper Yedi, Skolesit, Tiffany Taşı, Vivianite, Afganit, Ajoite, Alexandrite, Andalusite, Atakamit, Astrophyllite, Golden Healer, Vanadinit, Zümrüt, Tanzanit, Sodalit, Turmalin, Yakut, Zirkon, Aktinolit, Astrofilit, Unakite, Aleksandrit, Aksinit, Ajoit, Ferro Aktinolit, Markasit (Brandberg) Ametisti, Altın Beril, Iolit, Moldavit, Gökkuşağı Ay Taşı, Safir, Çilek Kuvars"
Vücudu toksinlerden arındırır ve detoks sürecini destekler,"Selestit, Seraphinite, Rutil Kuvars, Serpantin, Zeolit, Malakit, Sitrin, Peridot, Petalit, Sardonyx, Prehnite, Pietersite, Rodonit, Ametrin"
"Kemik, eklem ve diş sağlığını destekleyerek ağrıları hafifletir","Septeryan, Selenit, Selestit, Turkuaz, Rutil Kuvars, Rodonit, İnci, Prehnit, Amazonit, Apatit, Sardonyx, Diopsit, Siyah Turmalin, Aragonit, Oltu Taşı, Yeşim, Florit, Oniks, Fossilized Snails, Kalsit, Dolomit, Tantalite, Yeşil Kalsit, Glendonit, Kreedite, Aleksandrit, Zebra Jasper, Mercan, Mamut Fildişi, Skapolit, Stromatolit, Viviyanit, Tiffany Taşı, Tantalit, Siderit, Spodumene, Abalon"
Uyku kalitesini artırır ve uykusuzluk sorunlarını giderir,"Rutil Kuvars, Selenit, Safir, Selestit, Ametist, Lapis Lazuli, Lepidolit, Mavi Kiyanit, Danburite, Oltu Taşı, Sardonyx, Dumanlı Kuvars, Çeroit, Fosfosiderit, Glendonit, Angelit, Apofilit, Scolecite, Pembe Kalsit, Mavi Safir, Kalsedon, Çakmak Taşı, Turkuvaz, Mavi Kalsedon, Sitrin, Yeşim, Limon Krisopraz, Dalmasyon Jasper, Beyaz Aytaşı, Prehnit, Turmalin, Nuummit, İnci, Serüzit"
