Fayda,Taşlar
"Zihinsel netlik, odaklanma ve konsantrasyonu artırır","Rutil Kuvars, Safir, Shattuckite, Selenit, Sardonyx, Selestit, Mavi Safir, Kristal/Değerli Taş (Genel), Serpantin, Akik, Beril, Dumortierit, Florit, Hematit, Lazulit, Pirit, Oltu Taşı, Sardoniks, Serafinit, Septeryan, Zebercet (Peridot), Sodalit, Kristal Kuvars, Azurit, Jasper, Ametist, Florit (Fluorite), Lapis Lazuli, Sitrin (Citrine), Agate (Akik), Angel Dust Quartz (Melek Tozu Kuvars), Arizona Agate, Clear Quartz (Kristal Kuvars), Sitrin, Üleksit, Verdelit, Zultanit, Melek Tozu Kuvars, Apofilit, Siyah Akik, Kalsit (Mavi/Bal), Gözlemci Taşı (Hanksite), Süper Yedi, Tiffany Taşı, Ametrin, Siderit, Vulfenit (Wulfenite), Adamite, Afganit, Aktinolit, Almandin, Alexandrite, Altın Şifacı Kuvars, Andalusite, Anyolit, Oniks, Turmalin Kuvars, Vanadinit, Varisit, Yosunlu Akik, Zirkon, Zümrüt, Almandin Granat, Turmalin, Topaz, Tanzanit, Yakut, Mistik Topaz, Andaluzit, Atakamit, İndikolit, Rubizoit, Spinel, Thulite, Mavi Kalsit, Herderit, Altın Kuvars, Ajoit, Aksinit, Sugulit, Almandin Garnet, Golden Healer, Adamit, Aktinolit (Kuvars içinde), Atakamit (Atakamite), Abalone, Kehribar (Amber), Ejinir (Aegirine), Kayısı Akik, Kan Taşı (Bloodstone), Mavi Beril, Mavi Jasper, Labradorit, Selestit (Celestite), Kyanit, Aragonit, Gökkuşağı Florit, Kaplan Gözü, Ateş Kuvarsı"
"Stres, kaygı ve anksiyeteyi azaltarak içsel huzur sağlar","Rutil Kuvars, Safir, Selenit, Selestit, Shattuckite, Mavi Safir, Sardoniks, Smithsonite, Ametist, Mavi Dantelli Akik, Lepidolit, Akuamarin, Oltu Taşı (Jet), Smitsonit, Petalit, Danburite, Kalsedon, Amazonit (Amazonite), Amulet Stone, Pembe Kuvars (Gül Kuvars), Kristal Kuvars, Peridot, Dumanlı Kuvars, Akuamarin (Aquamarine), Ay Taşı (Moonstone), Turkuaz (Turquoise), Kaplan Gözü (Tiger’s Eye), Larimar, Sitrin (Citrine), Agate (Akik), Arizona Agate, Botswana Agate, Amethyst (Ametist), Amazonite (Amazonit), Angelite (Anjelit), Jasper, Oniks, Tugtupit, Verdelit, Florit, Akik, Amazonit, Muska Taşı (Amulet Stone), Apofilit, Auralite-23, Mavi Oniks, Mor Turmalin (Rubellit), Süper Yedi (Super Seven), Hiddenite, Stromatolit, Zultanit, Pembe Kuvars, Skapolit, Viviyanit, Varisit, Kunzit, Tantalite, Stilbit, Glendonit, Bronzit, Mangano Kalsit, Pembe Kalsit, Mavi Kalsit, Benitoyit (Benitoite), Ametrin, Kalsit, Pembe Opal, Pirit, Aktinolit, Amblygonit, Angel Aura Kuvars, Atlantasit, Dumortierit, Eilat Taşı, Epidot, Hematoid Kalsit, Icicle Kalsit, Kasiterit, Labradorit, Nuummit, Prazolit, Siyah Kuvars, Kırmızı Kalsit, Paraiba Kuvarsı, Pembe Spinel, Pembe Turmalin, Leylak Lepidolit, Mıknatıs Taşı (Manyetit), Polusit, Que Sera (Llanit), Selestobarit, Lityum Kuvars, Havlit, Sitrin, Okenit, Seruzit, Piromorfit, Melanit"
Duygusal dengeyi korur ve içsel huzur sağlar,"Rutil Kuvars, Selestit, Smithsonit, Septeryan, Seraphinite, Safir, Amazonit, Havlit, Kan Taşı, Peridot, Akik, Auralite-23, Aragonit, Petalit, Prehnit, Karnelyan, Rodonit, Abalon Kabuğu, Lepidolit, Lityum Kuvars, Melanit, Deniz Jasperı (Okyanus Jasperı), Jasper, Purpurit, Markazit, Natrolit, Llanit, Selestobarit, Larimar"
Bağışıklık sistemini güçlendirir ve vücut direncini artırır,"Safir, Septeryan, Smithsonit, Rutil Kuvars, Hücre Desenli Akik, Serafinit, Serpantin, Florit, Ametist, Berrak Kuvars, Mookaite Jasper, Pirit, Akik, Lepidolit, Smitsonit, Petalit, Sardonyx, Pietersite, Rodonit, Siyah Turmalin, Prehnite, Kehribar (Amber), Ametrin (Ametrine), Angel Dust Quartz, Yakut, Creedite, Kornerupine, Grossular Garnet, Angel Dust Kuvars, Şevron Ametist, Mavi Kuvars, Ouro Verde Kuvars, Yeşil Apatit, Epidot, Goşenit, Kloritli Kuvars, Hanksit, Kornerupin, Krokoit, Halit Minerali, Sonsuzluk Taşı"
İletişim becerilerini geliştirir ve kendini ifade etme yeteneğini güçlendirir,"Selestit, Safir, Shattuckite, Septeryan, Smithsonit, Rutil Kuvars, Mavi Safir, Krizokol, Amazonit, Mavi Dantelli Akik, Havlit, Larimar, Turkuaz, Lapis Lazuli, Akuamarin, Afganit, Apatit, Mavi Aventurin, Azurit, Euclaz, Kovellit, Mavi Opal, Girasol Kuvars, Porselen Jasper, Zümrüt, Natrolit, Papagoit, Purpurit, Heterosit, Titanit (Sfen), Çılgın Dantel Akik, Akroit (Achroite), Ametist (Amethyst)"
Negatif enerjilere karşı koruma sağlar ve aura alanını temizler,"Sardonyx, Selenit, Septeryan, Rutil Kuvars, Selestit, Shattuckite, Siyah Turmalin, Serafinit, Obsidyen, Jet (Oltu), Florit, Pirit, Sardoniks, Çilek Kuvars, Siyah Obsidyen, Dumanlı Kuvars, Labradorit, Sardoniks Akik, Kan Taşı (Heliotrope), Ametist, Lapis Lazuli (Safir), Heliotrope (Kan Taşı), Demonstone (Daimonites), Akik (Agate), Yeşim Taşı (Jade), Andalusite (Endülüsit), Zultanit, Akik, Kaplan Gözü, Oniks, Turkuaz, Yeşim, Jasper, Su Elementi Taşları (Akuamarin, Aytaşı vb.), Ametrine (Ametrin), Kayısı Akik, Amazonit, Andaluzit, Atlantisite, Siyah Oniks, Turmalinli Kuvars, Siyah Akik, Kyanit (Siyah), Şungit, Stavrolit, Cinnabar, Yeşim Taşı"
Sezgileri güçlendirir ve psişik yetenekleri geliştirir,"Shattuckite, Selestit, Rutil Kuvars, Selenit, Serpantin, Kyanit, İyolit, Petersit, Sardoniks, Prehnit, Labradorit, Ay Taşı, Petalit, Pietersite, Abalone Shell, Ametrin (Ametrine), Anjelit (Angelite), Apofilit (Apophyllite), Apatit, African Turquoise, Kaplan Gözü, Lapis Lazuli, Tiffany Stone, Üleksit, Vivianit, Anjelit, Ametist, Florit, Abalone Kabuğu, Afrika Turkuazı, Mavi Oniks, Süper Yedi, Skolesit, Apofilit, Tiffany Taşı, Vivianite, Afganit, Ajoite, Alexandrite, Andalusite, Atakamit, Astrophyllite, Golden Healer, Vanadinit, Zümrüt, Tanzanit, Sodalit, Turmalin, Yakut, Zirkon, Aktinolit, Astrofilit, Unakite, Aleksandrit, Aksinit, Ajoit, Ferro Aktinolit, Markasit (Brandberg) Ametisti, Altın Beril, Iolit, Moldavit, Gökkuşağı Ay Taşı, Safir, Çilek Kuvars"
Vücudu toksinlerden arındırır ve detoks sürecini destekler,"Selestit, Seraphinite, Rutil Kuvars, Serpantin, Zeolit, Malakit, Sitrin, Peridot (Zeberced), Petalit, Sardonyx, Prehnite, Pietersite, Rodonit, Ametrin (Ametrine)"
"Kemik, eklem ve diş sağlığını destekleyerek ağrıları hafifletir","Septeryan, Selenit, Selestit, Turkuaz, Rutil Kuvars, Rodonit, İnci, Prehnit, Amazonit (Amazonite), Apatit (Apatite), Sardonyx, Diopsit, Siyah Turmalin, Aragonit, Oltu Taşı, Yeşim, Apatit, Florit (Fluorite), Oniks (Onyx), Amazonite (Amazonit), Fossilized Snails, Apatite (Apatit), Aragonite (Aragonit), Calcite (Kalsit), Florit, Dolomit, Oniks, Tantalite, Yeşil Kalsit, Glendonit, Kreedite, Aleksandrit, Amazonit, Kalsit, Zebra Jasper, Mercan, Mamut Fildişi, Skapolit, Stromatolit, Viviyanit, Tiffany Taşı, Tantalit, Siderit, Spodumene (Triphane), Abalon (Abalone)"
Uyku kalitesini artırır ve uykusuzluk sorunlarını giderir,"Rutil Kuvars, Selenit, Safir, Selestit, Ametist, Lapis Lazuli, Lepidolit, Mavi Kiyanit, Danburite, Oltu Taşı, Sardonyx, Dumanlı Kuvars, Çeroit (Charoite), Phosphosiderite (Fosfosiderit), Glendonit, Angelit, Apofilit, Scolecite, Pembe Kalsit, Mavi Safir, Kalsedon, Çakmak Taşı, Turkuvaz, Mavi Kalsedon, Sitrin, Yeşim (Jade), Limon Krisopraz, Dalmasyon Jasper, Beyaz Aytaşı, Prehnit, Turmalin, Nuummit, İnci, Serüzit, Ametist (Amethyst), Angelit (Angelite)"
